decision_id,timestamp,session_id,question,top_score,second_score,score_gap,top_entity,second_entity,confidence_band,ambiguous,route,event_type,user_reply,resolution,answer_source
d9555df664d3,2026-09-18T11:14:46,02ca2831-5db9-436c-8759-30b3d5a413e5,okay tell me who is the principal,0.6569,0.6270,0.0299,Who is the Principal of RNSIT?,What can you do,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
2918877e8e0a,2026-09-18T12:17:42,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the principal,0.6612,0.6413,0.0199,Who is the Principal of RNSIT?,Who is the Chairman of RNSIT?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
2918877e8e0a,2026-09-18T12:18:58,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the principal,,,,,,,,,resolution,who is the principal,abandoned,
a10d56cea715,2026-09-18T12:18:58,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the principal,0.6612,0.6413,0.0199,Who is the Principal of RNSIT?,Who is the Chairman of RNSIT?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
a10d56cea715,2026-09-18T12:19:52,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the principal,,,,,,,,,resolution,who is the principal,abandoned,
d107e74bdd6e,2026-09-18T12:19:52,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the principal,0.6612,0.6413,0.0199,Who is the Principal of RNSIT?,Who is the Chairman of RNSIT?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
d107e74bdd6e,2026-09-18T12:20:54,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the chairman of rns it,,,,,,,,,resolution,who is the chairman of rns it,abandoned,
70aefeec19b8,2026-09-18T12:20:56,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the chairman of rns it,0.7766,0.7063,0.0703,Who is the Chairman of RNSIT?,Who is the Principal of RNSIT?,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
4db96ffa6dad,2026-09-18T12:34:33,02ca2831-5db9-436c-8759-30b3d5a413e5,voice ready kharti kharra can you tell me what are the facilities provided by rns it,0.6986,0.6625,0.0361,What can you do,Is there a gym on campus?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
4db96ffa6dad,2026-09-18T12:34:50,02ca2831-5db9-436c-8759-30b3d5a413e5,no i meant to ask like what are the facilities provided by rns it,,,,,,,,,resolution,no i meant to ask like what are the facilities provided by rns it,abandoned,
fdb78341c38c,2026-09-18T12:34:51,02ca2831-5db9-436c-8759-30b3d5a413e5,no i meant to ask like what are the facilities provided by rns it,0.7483,0.7440,0.0043,What can you do,Is there a gym on campus?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
fdb78341c38c,2026-09-18T12:36:08,02ca2831-5db9-436c-8759-30b3d5a413e5,i wanted to ask what is the admission criteria for joining rns it please can you tell me that,,,,,,,,,resolution,i wanted to ask what is the admission criteria for joining rns it please can you tell me that,abandoned,
2315d6161d32,2026-09-18T12:36:08,02ca2831-5db9-436c-8759-30b3d5a413e5,i wanted to ask what is the admission criteria for joining rns it please can you tell me that,0.7311,0.7240,0.0071,Scholarships,What can you do,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
2315d6161d32,2026-09-18T12:36:21,02ca2831-5db9-436c-8759-30b3d5a413e5,yeah i meant scholarships,,,,,,,,,resolution,yeah i meant scholarships,disambiguated_a,LOCAL
e9959e4e0854,2026-09-18T12:36:58,02ca2831-5db9-436c-8759-30b3d5a413e5,then what are the documents required for admission,0.7747,0.6881,0.0866,Documents Required,Admission Process,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
45222e3b22a1,2026-09-18T12:38:03,02ca2831-5db9-436c-8759-30b3d5a413e5,ise hostel in rns it,0.7585,0.7255,0.0330,Hostels,Information Science and Engineering,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
dcdcb408cfc2,2026-09-18T12:48:15,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the principal of rns i think,0.7332,0.6802,0.0530,Who is the Principal of RNSIT?,Who is the Chairman of RNSIT?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
dcdcb408cfc2,2026-09-18T12:48:36,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the principal of rns it,,,,,,,,,resolution,who is the principal of rns it,abandoned,
28434ec05472,2026-09-18T12:48:36,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the principal of rns it,0.7520,0.6949,0.0571,Who is the Principal of RNSIT?,Who is the Chairman of RNSIT?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
28434ec05472,2026-09-18T12:48:54,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the hod of aiml department,,,,,,,,,resolution,who is the hod of aiml department,abandoned,
9d6e28dde75e,2026-09-18T12:48:54,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the hod of aiml department,0.7414,0.7115,0.0299,Who is the HOD of AI ML?,CSE (AI and ML),HIGH,True,HIGH_CLARIFY_LIMIT,decision,,clarify_limit_reached,
3da8801c4295,2026-09-18T12:49:12,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the hod of cse department,0.8387,0.7027,0.1360,Who is the HOD of CSE?,Computer Science and Engineering,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
6a2ef9cf7523,2026-09-18T12:49:53,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the director of rns it,0.7257,0.6590,0.0667,Who is the Director of RNSIT?,Who is the Chairman of RNSIT?,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
2ad744329f2a,2026-09-18T12:50:51,02ca2831-5db9-436c-8759-30b3d5a413e5,how many departments are there in rns it,0.6844,0.6495,0.0349,What departments does RNSIT have?,How many companies recruit from RNSIT?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
2ad744329f2a,2026-09-18T12:51:09,02ca2831-5db9-436c-8759-30b3d5a413e5,departments does rns heti have,,,,,,,,,resolution,departments does rns heti have,abandoned,
de6d78ab45f7,2026-09-18T12:51:10,02ca2831-5db9-436c-8759-30b3d5a413e5,departments does rns heti have,0.6831,0.6635,0.0196,What departments does RNSIT have?,Who is the HOD of AI ML?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
de6d78ab45f7,2026-09-18T12:51:29,02ca2831-5db9-436c-8759-30b3d5a413e5,i meant how many departments does rns it have,,,,,,,,,resolution,i meant how many departments does rns it have,abandoned,
4694198a565a,2026-09-18T12:51:29,02ca2831-5db9-436c-8759-30b3d5a413e5,i meant how many departments does rns it have,0.6629,0.6522,0.0107,Is there a gym on campus?,What departments does RNSIT have?,HIGH,True,HIGH_CLARIFY_LIMIT,decision,,clarify_limit_reached,
a283787ee575,2026-09-18T12:52:10,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me which company that groups from rns it,0.7025,0.6984,0.0041,How many companies recruit from RNSIT?,Placements Overview,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
a283787ee575,2026-09-18T12:54:23,02ca2831-5db9-436c-8759-30b3d5a413e5,hello can you tell me the names of the recruiting companies from rns it,,,,,,,,,resolution,hello can you tell me the names of the recruiting companies from rns it,abandoned,
bddb5d9a3acf,2026-09-18T12:54:23,02ca2831-5db9-436c-8759-30b3d5a413e5,hello can you tell me the names of the recruiting companies from rns it,0.7910,0.7787,0.0123,Placements Overview,How many companies recruit from RNSIT?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
bddb5d9a3acf,2026-09-18T12:54:45,02ca2831-5db9-436c-8759-30b3d5a413e5,companies recruit from rns it i meant that,,,,,,,,,resolution,companies recruit from rns it i meant that,abandoned,
2014b0be162e,2026-09-18T12:54:45,02ca2831-5db9-436c-8759-30b3d5a413e5,companies recruit from rns it i meant that,0.7252,0.7158,0.0094,How many companies recruit from RNSIT?,Placements Overview,HIGH,True,HIGH_CLARIFY_LIMIT,decision,,clarify_limit_reached,
916434e037f6,2026-09-18T13:20:01,unknown,Who is the principal of RNS IT?,0.0000,,,,,LOW,False,LOW_RNSIT_UNKNOWN,decision,,unknown_logged,
19dd677a3601,2026-09-18T13:20:06,unknown,Who is the principal of RNSIT?,0.0000,,,,,LOW,False,LOW_RNSIT_UNKNOWN,decision,,unknown_logged,
b3b480bfc364,2026-09-18T13:20:11,unknown,Who is the HOD of AIML department?,0.0000,,,,,LOW,False,LOW_RNSIT_UNKNOWN,decision,,unknown_logged,
9966d6e4f525,2026-09-18T13:20:15,unknown,Who is the HOD of AI ML?,0.0000,,,,,LOW,False,LOW_RNSIT_UNKNOWN,decision,,unknown_logged,
d06552fbfc75,2026-09-18T13:20:20,unknown,Who is the HOD of CSE department?,0.0000,,,,,LOW,False,LOW_RNSIT_UNKNOWN,decision,,unknown_logged,
8cae2d34ed5c,2026-09-18T13:20:24,unknown,How many departments does RNS IT have?,0.0000,,,,,LOW,False,LOW_RNSIT_UNKNOWN,decision,,unknown_logged,
67ba34e3be8c,2026-09-18T13:20:29,unknown,Which companies recruit from RNS IT?,0.0000,,,,,LOW,False,LOW_RNSIT_UNKNOWN,decision,,unknown_logged,
9d81b1c5f459,2026-09-18T13:21:38,unknown,Who is the principal of RNS IT?,0.7614,0.7068,0.0546,Who is the Principal of RNSIT?,Who is the Chairman of RNSIT?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
587d0c7dfd02,2026-09-18T13:21:40,unknown,Who is the principal of RNSIT?,0.8718,0.7842,0.0876,Who is the Principal of RNSIT?,Who is the Chairman of RNSIT?,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
e5b93ff7c978,2026-09-18T13:21:40,unknown,Who is the HOD of AIML department?,0.7419,0.7205,0.0214,Who is the HOD of AI ML?,CSE (AI and ML),HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
e7cd8c2b1adc,2026-09-18T13:21:41,unknown,Who is the HOD of AI ML?,0.8226,0.6726,0.1500,Who is the HOD of AI ML?,CSE (AI and ML),HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
904d390d5f3f,2026-09-18T13:21:42,unknown,Who is the HOD of CSE department?,0.8447,0.7133,0.1314,Who is the HOD of CSE?,Computer Science and Engineering,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
237a29897d05,2026-09-18T13:21:42,unknown,How many departments does RNS IT have?,0.6805,0.6631,0.0174,What departments does RNSIT have?,Is there a gym on campus?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
85cf579562d9,2026-09-18T13:21:42,unknown,Which companies recruit from RNS IT?,0.7847,0.7649,0.0198,Placements Overview,How many companies recruit from RNSIT?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
3341d987b739,2026-09-18T13:31:25,unknown,Who is the principal of RNSIT?,0.8718,0.7842,0.0876,Principal,Group Chairman,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
f524887e12a7,2026-09-18T13:31:25,unknown,Who is the principal of RNS IT?,0.7614,0.7068,0.0546,Principal,Group Chairman,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
e2a8f5632b02,2026-09-18T13:31:26,unknown,Who is the HOD of AIML?,0.7240,0.6578,0.0662,CSE (AI and ML),Computer Science and Engineering,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
be18e8c2c4ae,2026-09-18T13:31:27,unknown,Who is the HOD of AI ML?,0.8226,0.6862,0.1364,CSE (AI and ML),CSE (AI and ML),HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
bb1aa1c6d70d,2026-09-18T13:31:28,unknown,Who is the HOD of CSE?,0.8402,0.6800,0.1602,Computer Science and Engineering,CSE (AI and ML),HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
aa9279c0f127,2026-09-18T13:31:28,unknown,How many departments does RNSIT have?,0.7739,0.7296,0.0443,Departments Overview,Placements Overview,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
c948837274d8,2026-09-18T13:31:29,unknown,How many departments does RNS IT have?,0.6805,0.6631,0.0174,Departments Overview,Is there a gym on campus?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
8537b71cf3af,2026-09-18T13:31:31,unknown,Which companies recruit from RNSIT?,0.8593,0.8408,0.0185,Placements Overview,Placements Overview,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
c04025b3e910,2026-09-18T13:31:33,unknown,Which companies recruit from RNS IT?,0.7847,0.7649,0.0198,Placements Overview,Placements Overview,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
dfd080c6734d,2026-09-18T13:31:33,unknown,Who won the World Cup in 2022?,0.5755,0.5642,0.0113,Sports,Canteen,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
5135957ac2d3,2026-09-18T13:34:50,unknown,Who is the principal of RNSIT?,0.8578,0.7718,0.0860,Principal,Group Chairman,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
eaa03b348e36,2026-09-18T13:34:51,unknown,Who is the principal of RNS IT?,0.8578,0.7718,0.0860,Principal,Group Chairman,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
b9e27661bc46,2026-09-18T13:34:52,unknown,Who is the HOD of AIML?,0.7251,0.6561,0.0690,CSE (AI and ML),Computer Science and Engineering,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
bf707b0ebce5,2026-09-18T13:34:53,unknown,Who is the HOD of AI ML?,0.7251,0.6561,0.0690,CSE (AI and ML),Computer Science and Engineering,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
addc98e26941,2026-09-18T13:34:54,unknown,Who is the HOD of CSE?,0.8347,0.6793,0.1554,Computer Science and Engineering,CSE (AI and ML),HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
2d02db60f2c3,2026-09-18T13:34:55,unknown,How many departments does RNSIT have?,0.7687,0.7333,0.0354,Departments Overview,Placements Overview,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
3918e8182c8e,2026-09-18T13:34:55,unknown,How many departments does RNS IT have?,0.7687,0.7333,0.0354,Departments Overview,Placements Overview,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
f1b5353eef42,2026-09-18T13:34:57,unknown,Which companies recruit from RNSIT?,0.8699,0.8539,0.0160,Placements Overview,Placements Overview,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
9c7134726bde,2026-09-18T13:34:59,unknown,Which companies recruit from RNS IT?,0.8699,0.8539,0.0160,Placements Overview,Placements Overview,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
2a59e5485c8a,2026-09-18T13:34:59,unknown,Who won the World Cup in 2022?,0.0000,,,,,LOW,False,LOW_OUT_OF_SCOPE,decision,,out_of_scope,
9e3b6ae2ee3c,2026-09-18T13:36:20,unknown,Who is the principal of RNSIT?,0.8578,0.7718,0.0860,Principal,Group Chairman,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
230bd35ef9a7,2026-09-18T13:36:22,unknown,Who is the principal of RNS IT?,0.8578,0.7718,0.0860,Principal,Group Chairman,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
4b0e1f9ee714,2026-09-18T13:36:23,unknown,Who is the HOD of AIML?,0.7251,0.6561,0.0690,CSE (AI and ML),Computer Science and Engineering,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
9f5d6667d1a3,2026-09-18T13:36:24,unknown,Who is the HOD of AI ML?,0.7251,0.6561,0.0690,CSE (AI and ML),Computer Science and Engineering,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
2ce1907876ed,2026-09-18T13:36:25,unknown,Who is the HOD of CSE?,0.8347,0.6793,0.1554,Computer Science and Engineering,CSE (AI and ML),HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
0e11992af9f2,2026-09-18T13:36:27,unknown,How many departments does RNSIT have?,0.8095,0.7687,0.0408,Departments Overview,Departments Overview,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
ef759d6057c7,2026-09-18T13:36:29,unknown,How many departments does RNS IT have?,0.8095,0.7687,0.0408,Departments Overview,Departments Overview,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
290a075f5e4d,2026-09-18T13:36:31,unknown,Which companies recruit from RNSIT?,0.8699,0.8539,0.0160,Placements Overview,Placements Overview,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
98942b329677,2026-09-18T13:36:33,unknown,Which companies recruit from RNS IT?,0.8699,0.8539,0.0160,Placements Overview,Placements Overview,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
2b955b710dcc,2026-09-18T13:36:33,unknown,Who won the World Cup in 2022?,0.0000,,,,,LOW,False,LOW_OUT_OF_SCOPE,decision,,out_of_scope,
50629518280e,2026-09-18T14:50:10,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the principal,0.6612,0.6413,0.0199,Principal,Group Chairman,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
50629518280e,2026-09-18T14:50:33,02ca2831-5db9-436c-8759-30b3d5a413e5,who is the principal of rns institute,,,,,,,,,resolution,who is the principal of rns institute,disambiguated_a,LOCAL
bcfdf5f9936a,2026-09-18T14:51:44,02ca2831-5db9-436c-8759-30b3d5a413e5,okay who is the director of rnsit,0.8196,0.7629,0.0567,Director,Group Chairman,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
bcfdf5f9936a,2026-09-18T14:53:12,02ca2831-5db9-436c-8759-30b3d5a413e5,okay can you tell me who is the chairman of rnsit,,,,,,,,,resolution,okay can you tell me who is the chairman of rnsit,abandoned,
c644a79616ee,2026-09-18T14:53:13,02ca2831-5db9-436c-8759-30b3d5a413e5,okay can you tell me who is the chairman of rnsit,0.8584,0.7875,0.0709,Group Chairman,Principal,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
96c884bd2517,2026-09-18T14:53:43,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me who is the principal of rnsit then,0.8652,0.7895,0.0757,Principal,Group Chairman,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
c79835e66de2,2026-09-18T14:54:07,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me who is the director of rnsit,0.8517,0.8030,0.0487,Director,Principal,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
c79835e66de2,2026-09-18T14:54:28,02ca2831-5db9-436c-8759-30b3d5a413e5,i meant director can you tell me who is the director of rnsit,,,,,,,,,resolution,i meant director can you tell me who is the director of rnsit,disambiguated_a,LOCAL
d0e82ab5a702,2026-09-18T14:54:56,02ca2831-5db9-436c-8759-30b3d5a413e5,okay okay can you tell me who is the hod of aiml department,0.7819,0.7104,0.0715,CSE (AI and ML),Computer Science and Engineering,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
5252307bf8a9,2026-09-18T14:55:25,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me the facilities of rnsit like what all facilities are given by this college,0.7835,0.7649,0.0186,Is there a gym on campus?,What is the website of RNSIT?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
5252307bf8a9,2026-09-18T14:55:44,02ca2831-5db9-436c-8759-30b3d5a413e5,i meant facilities like what all facilities does rnsit provide,,,,,,,,,resolution,i meant facilities like what all facilities does rnsit provide,abandoned,
440d3dc729fa,2026-09-18T14:55:45,02ca2831-5db9-436c-8759-30b3d5a413e5,i meant facilities like what all facilities does rnsit provide,0.7625,0.7250,0.0375,Is there a gym on campus?,What is the website of RNSIT?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
440d3dc729fa,2026-09-18T14:56:03,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me how many departments are there in rns cycle,,,,,,,,,resolution,can you tell me how many departments are there in rns cycle,abandoned,
e87debbc72e3,2026-09-18T14:56:04,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me how many departments are there in rns cycle,0.7092,0.6607,0.0485,Departments Overview,Placements Overview,HIGH,True,HIGH_CLARIFY_LIMIT,decision,,clarify_limit_reached,
9e13ca342fff,2026-09-18T14:56:22,02ca2831-5db9-436c-8759-30b3d5a413e5,how many departments are there in rnsit,0.8173,0.7627,0.0546,Departments Overview,Departments Overview,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
a259c326a73e,2026-09-18T14:56:57,02ca2831-5db9-436c-8759-30b3d5a413e5,can you name the undergraduate engineering branches what is the name of the department,0.6892,0.6618,0.0274,Electrical and Electronics Engineering,Mechanical Engineering,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
a259c326a73e,2026-09-18T14:57:21,02ca2831-5db9-436c-8759-30b3d5a413e5,i meant what all my engineering are there like cse like that,,,,,,,,,resolution,i meant what all my engineering are there like cse like that,abandoned,
53dc800b3408,2026-09-18T14:57:21,02ca2831-5db9-436c-8759-30b3d5a413e5,i meant what all my engineering are there like cse like that,0.0000,,,,,LOW,False,LOW_OUT_OF_SCOPE,decision,,out_of_scope,
1d96ac6b31f7,2026-09-18T15:08:21,unknown,"Can you tell me the facilities of RNS IT, like what all facilities are given by this college?",0.0000,,,,,LOW,False,LOW_RNSIT_UNKNOWN,decision,,unknown_logged,
c6d2d44dcc8e,2026-09-18T15:09:58,unknown,"Can you tell me the facilities of RNS IT, like what all facilities are given by this college?",0.0000,,,,,LOW,False,LOW_RNSIT_UNKNOWN,decision,,unknown_logged,
6ff2bf9014e7,2026-09-18T15:11:31,unknown,"Can you tell me the facilities of RNS IT, like what all facilities are given by this college?",0.8559,0.7835,0.0724,Campus Facilities Overview,Is there a gym on campus?,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
f7247c9028b8,2026-09-18T15:21:51,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me what all the facilities provided by rnsit,0.8420,0.7659,0.0761,Campus Facilities Overview,What is the website of RNSIT?,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
d42b2f92e0d0,2026-09-18T15:22:17,02ca2831-5db9-436c-8759-30b3d5a413e5,continue continue,0.7893,0.7296,0.0597,Campus Facilities Overview,Is there a gym on campus?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
d42b2f92e0d0,2026-09-18T15:22:42,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me the admission criteria for joining this college,,,,,,,,,resolution,can you tell me the admission criteria for joining this college,abandoned,
7197025736e9,2026-09-18T15:22:42,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me the admission criteria for joining this college,0.6849,0.6662,0.0187,Admission Process,Admission Route — BE UNDERGRADUATE,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
7197025736e9,2026-09-18T15:23:03,02ca2831-5db9-436c-8759-30b3d5a413e5,admission process,,,,,,,,,resolution,admission process,disambiguated_a,LOCAL
a10326d54e47,2026-09-18T15:23:49,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me the management fee for getting admission in cse department,0.6999,0.6749,0.0250,What is the intake for the CSE department?,Computer Science and Engineering,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
a10326d54e47,2026-09-18T15:24:13,02ca2831-5db9-436c-8759-30b3d5a413e5,im in the management fee structure,,,,,,,,,resolution,im in the management fee structure,abandoned,
f8216d20a0ad,2026-09-18T15:24:13,02ca2831-5db9-436c-8759-30b3d5a413e5,im in the management fee structure,0.6188,0.5738,0.0450,Admission Process,Hostels,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
f8216d20a0ad,2026-09-18T15:24:43,02ca2831-5db9-436c-8759-30b3d5a413e5,can you,,,,,,,,,resolution,can you,abandoned,
bb29556a30a7,2026-09-18T15:24:45,02ca2831-5db9-436c-8759-30b3d5a413e5,can you,0.0000,,,,,LOW,False,LOW_OUT_OF_SCOPE,decision,,out_of_scope,
2d08f6bec94c,2026-09-18T15:24:57,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me the recruiting companies for rnsit,0.8485,0.8175,0.0310,Placements Overview,Placements Overview,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
78e323cf5d4e,2026-09-18T15:25:24,02ca2831-5db9-436c-8759-30b3d5a413e5,what about the internship,0.6396,0.6285,0.0111,Counselling,Electrical and Electronics Engineering,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
78e323cf5d4e,2026-09-18T15:25:34,02ca2831-5db9-436c-8759-30b3d5a413e5,the,,,,,,,,,resolution,the,abandoned,
371804d614b7,2026-09-18T15:25:36,02ca2831-5db9-436c-8759-30b3d5a413e5,the,0.7356,0.7053,0.0303,Electrical and Electronics Engineering,Electronics and Communication Engineering,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
371804d614b7,2026-09-18T15:26:10,02ca2831-5db9-436c-8759-30b3d5a413e5,what is the cet code for this rnsit college,,,,,,,,,resolution,what is the cet code for this rnsit college,abandoned,
9f1254f6dc5f,2026-09-18T15:26:12,02ca2831-5db9-436c-8759-30b3d5a413e5,what is the cet code for this rnsit college,0.8687,0.7560,0.1127,What is the CET code for RNSIT?,What is the COMEDK code for RNSIT?,HIGH,False,HIGH_LOCAL,decision,,answered,LOCAL
c58ceb8a25ff,2026-09-18T15:27:16,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me the common care rank for rnsit,0.7026,0.7000,0.0026,Placements Overview,General Enquiry,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
c58ceb8a25ff,2026-09-18T15:27:38,02ca2831-5db9-436c-8759-30b3d5a413e5,what was the highest package in 2025,,,,,,,,,resolution,what was the highest package in 2025,abandoned,
